timestamp,pod,cpu_millicores
1772360129,websocket-server-5f4f67c6f4-hd5jb,116
1772360129,websocket-server-5f4f67c6f4-k82hd,0
1772360129,websocket-server-5f4f67c6f4-kfn6d,136
1772360129,websocket-server-5f4f67c6f4-vrqjr,0
1772360129,websocket-server-5f4f67c6f4-xhx94,0
1772360129,websocket-server-5f4f67c6f4-xzbwh,0
1772360129,websocket-server-5f4f67c6f4-z5ftb,0
1772360134,websocket-server-5f4f67c6f4-45fb2,194
1772360134,websocket-server-5f4f67c6f4-65l82,163
1772360134,websocket-server-5f4f67c6f4-7w5zm,0
1772360134,websocket-server-5f4f67c6f4-87z6g,143
1772360134,websocket-server-5f4f67c6f4-88jgf,0
1772360134,websocket-server-5f4f67c6f4-8g2fl,133
1772360134,websocket-server-5f4f67c6f4-96fbm,146
1772360134,websocket-server-5f4f67c6f4-dgcgd,113
1772360134,websocket-server-5f4f67c6f4-hd5jb,116
1772360134,websocket-server-5f4f67c6f4-k82hd,0
1772360134,websocket-server-5f4f67c6f4-kfn6d,136
1772360134,websocket-server-5f4f67c6f4-vrqjr,0
1772360134,websocket-server-5f4f67c6f4-xhx94,0
1772360134,websocket-server-5f4f67c6f4-xzbwh,0
1772360134,websocket-server-5f4f67c6f4-z5ftb,0
1772360139,websocket-server-5f4f67c6f4-45fb2,132
1772360139,websocket-server-5f4f67c6f4-65l82,120
1772360139,websocket-server-5f4f67c6f4-7w5zm,0
1772360139,websocket-server-5f4f67c6f4-87z6g,154
1772360139,websocket-server-5f4f67c6f4-88jgf,0
1772360139,websocket-server-5f4f67c6f4-8g2fl,133
1772360139,websocket-server-5f4f67c6f4-96fbm,145
1772360139,websocket-server-5f4f67c6f4-dgcgd,145
1772360139,websocket-server-5f4f67c6f4-hd5jb,121
1772360139,websocket-server-5f4f67c6f4-k82hd,0
1772360139,websocket-server-5f4f67c6f4-kfn6d,133
1772360139,websocket-server-5f4f67c6f4-vrqjr,0
1772360139,websocket-server-5f4f67c6f4-xhx94,0
1772360139,websocket-server-5f4f67c6f4-xzbwh,0
1772360139,websocket-server-5f4f67c6f4-z5ftb,0
1772360144,websocket-server-5f4f67c6f4-45fb2,132
1772360144,websocket-server-5f4f67c6f4-65l82,120
1772360144,websocket-server-5f4f67c6f4-7w5zm,0
1772360144,websocket-server-5f4f67c6f4-87z6g,154
1772360144,websocket-server-5f4f67c6f4-88jgf,0
1772360144,websocket-server-5f4f67c6f4-8g2fl,133
1772360144,websocket-server-5f4f67c6f4-96fbm,145
1772360144,websocket-server-5f4f67c6f4-dgcgd,145
1772360144,websocket-server-5f4f67c6f4-hd5jb,121
1772360144,websocket-server-5f4f67c6f4-k82hd,0
1772360144,websocket-server-5f4f67c6f4-kfn6d,133
1772360144,websocket-server-5f4f67c6f4-vrqjr,0
1772360144,websocket-server-5f4f67c6f4-xhx94,0
1772360144,websocket-server-5f4f67c6f4-xzbwh,0
1772360144,websocket-server-5f4f67c6f4-z5ftb,0
1772360149,websocket-server-5f4f67c6f4-45fb2,132
1772360149,websocket-server-5f4f67c6f4-65l82,120
1772360149,websocket-server-5f4f67c6f4-7w5zm,0
1772360149,websocket-server-5f4f67c6f4-87z6g,154
1772360149,websocket-server-5f4f67c6f4-88jgf,0
1772360149,websocket-server-5f4f67c6f4-8g2fl,133
1772360149,websocket-server-5f4f67c6f4-96fbm,145
1772360149,websocket-server-5f4f67c6f4-dgcgd,145
1772360149,websocket-server-5f4f67c6f4-hd5jb,121
1772360149,websocket-server-5f4f67c6f4-k82hd,0
1772360149,websocket-server-5f4f67c6f4-kfn6d,133
1772360149,websocket-server-5f4f67c6f4-vrqjr,0
1772360149,websocket-server-5f4f67c6f4-xhx94,0
1772360149,websocket-server-5f4f67c6f4-xzbwh,0
1772360149,websocket-server-5f4f67c6f4-z5ftb,0
1772360154,websocket-loadgen-4kcbz,26
1772360154,websocket-server-5f4f67c6f4-45fb2,102
1772360154,websocket-server-5f4f67c6f4-65l82,101
1772360154,websocket-server-5f4f67c6f4-7w5zm,71
1772360154,websocket-server-5f4f67c6f4-87z6g,115
1772360154,websocket-server-5f4f67c6f4-88jgf,62
1772360154,websocket-server-5f4f67c6f4-8g2fl,122
1772360154,websocket-server-5f4f67c6f4-96fbm,103
1772360154,websocket-server-5f4f67c6f4-dgcgd,118
1772360154,websocket-server-5f4f67c6f4-hd5jb,119
1772360154,websocket-server-5f4f67c6f4-k82hd,54
1772360154,websocket-server-5f4f67c6f4-kfn6d,106
1772360154,websocket-server-5f4f67c6f4-vrqjr,32
1772360154,websocket-server-5f4f67c6f4-xhx94,64
1772360154,websocket-server-5f4f67c6f4-xzbwh,67
1772360154,websocket-server-5f4f67c6f4-z5ftb,55
1772360159,websocket-loadgen-4kcbz,26
1772360159,websocket-server-5f4f67c6f4-45fb2,102
1772360159,websocket-server-5f4f67c6f4-65l82,101
1772360159,websocket-server-5f4f67c6f4-7w5zm,71
1772360159,websocket-server-5f4f67c6f4-87z6g,115
1772360159,websocket-server-5f4f67c6f4-88jgf,62
1772360159,websocket-server-5f4f67c6f4-8g2fl,122
1772360159,websocket-server-5f4f67c6f4-96fbm,103
1772360159,websocket-server-5f4f67c6f4-dgcgd,118
1772360159,websocket-server-5f4f67c6f4-hd5jb,119
1772360159,websocket-server-5f4f67c6f4-k82hd,54
1772360159,websocket-server-5f4f67c6f4-kfn6d,106
1772360159,websocket-server-5f4f67c6f4-vrqjr,32
1772360159,websocket-server-5f4f67c6f4-xhx94,64
1772360159,websocket-server-5f4f67c6f4-xzbwh,67
