LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-c8k8p      Successfully assigned default/cpu-app-7644f97777-c8k8p to kind-worker
29m         Normal    Scheduled                      pod/cpu-app-7644f97777-r9966      Successfully assigned default/cpu-app-7644f97777-r9966 to kind-worker3
29m         Normal    Pulled                         pod/cpu-app-7644f97777-rr7r9      Successfully pulled image "polinux/stress" in 1.823s (1.823s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-r9966      Successfully pulled image "polinux/stress" in 1.632s (1.632s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-bqhw2      Successfully pulled image "polinux/stress" in 1.557s (1.557s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-xpcm5      Successfully pulled image "polinux/stress" in 1.613s (3.17s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-vfw22      Successfully pulled image "polinux/stress" in 1.539s (2.865s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-c8k8p      Successfully pulled image "polinux/stress" in 1.552s (2.941s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-fftpf      Successfully pulled image "polinux/stress" in 1.498s (4.105s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-c67cn      Successfully pulled image "polinux/stress" in 1.567s (4.31s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-g6d92      Successfully pulled image "polinux/stress" in 1.569s (4.365s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-kdp48      Successfully pulled image "polinux/stress" in 1.408s (1.408s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-vfwvn      Successfully pulled image "polinux/stress" in 2.86s (6.91s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-w2m4m      Successfully pulled image "polinux/stress" in 1.406s (1.406s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-sfzkn      Successfully pulled image "polinux/stress" in 1.706s (3.465s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-zzsjp      Successfully pulled image "polinux/stress" in 1.568s (2.965s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-n42xv      Successfully pulled image "polinux/stress" in 1.606s (3.001s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-ngmnt      Successfully pulled image "polinux/stress" in 1.761s (5.217s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.427s (1.427s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.758s (1.758s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 1.651s (1.651s including waiting). Image size: 4041495 bytes.
29m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.677s (2.322s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-fftpf      Successfully pulled image "polinux/stress" in 2.128s (2.128s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-798xc      Successfully pulled image "polinux/stress" in 2.052s (2.052s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-tl5qq      Successfully pulled image "polinux/stress" in 1.92s (1.92s including waiting). Image size: 4041495 bytes.
26m         Normal    Pulled                         pod/cpu-app-7644f97777-vfwvn      Successfully pulled image "polinux/stress" in 1.843s (2.968s including waiting). Image size: 4041495 bytes.
